,Unnamed: 0.1,Unnamed: 0,country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,Gini coefficient,stance_positivity_score,Success
0,0,129,11,Sweden,10,10.0,2018-09-09,201809,11110,Green Ecology Party,MP,10,,333,5,2019.0,0.88,0.674,4.414,0.0,,16.0,349.0,1,140,2023-1,595.0,0.0,0.0,0.0,0.0,0.336,1.681,0.672,0.84,0.168,0.0,0.0,3.361,2.185,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.168,1.345,0.0,0.0,0.0,0.0,0.0,0.336,0.0,0.0,6.05,0.0,0.0,0.0,0.0,10.924,25.21,4.706,7.731,10.756,0.0,6.05,0.0,0.672,2.857,0.0,0.168,2.017,2.185,2.017,0.504,4.37,0.0,2.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,2.857,2.185,0.0,0.0,0.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,10.924,0.672,0.0,0.0,2.857,2.017,0.0,2.185,0.0,0.0,1.849,0.168,0.0,0.0,0.504,2.185,0.0,-15.966,0.0,0.168,18.487,2.353,2023a,VXLO39,0.2997419,63.025000000000006,1
1,1,130,11,Sweden,10,10.0,2018-09-09,201809,11220,Left Party,V,20,,333,5,2019.0,0.88,0.674,8.005,0.0,,28.0,349.0,1,140,2023-1,656.0,0.457,0.0,0.0,0.0,0.0,2.896,0.61,0.762,0.0,0.0,0.305,1.677,2.439,0.0,0.0,0.0,0.0,0.152,0.915,3.354,0.0,0.0,1.067,0.0,0.0,0.0,0.0,0.305,0.0,0.0,1.982,0.0,0.305,0.0,0.0,2.744,5.64,3.201,20.122,17.53,0.0,7.927,0.0,0.0,3.201,0.0,1.372,1.372,1.524,2.134,0.0,15.091,0.0,0.61,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,1.524,2.287,0.0,0.152,0.0,3.354,0.0,0.0,0.0,0.0,0.0,0.0,2.744,0.0,0.0,0.0,3.201,1.372,0.457,1.524,0.0,0.0,2.134,0.0,0.0,0.0,0.0,0.61,0.0,-40.701,1.067,0.0,37.652,3.506,2023a,IJRAPK,0.2997419,53.201,1
2,2,131,11,Sweden,10,10.0,2018-09-09,201809,11320,Social Democratic Labour Party,SAP,30,,333,5,2019.0,0.88,0.674,28.261,0.0,,100.0,349.0,1,140,2023-1,310.0,0.0,0.0,0.0,0.0,4.194,0.323,0.323,3.871,2.581,0.968,0.0,1.613,0.968,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0,1.935,0.645,0.0,0.0,0.0,0.645,0.645,0.0,0.0,3.226,0.0,0.0,0.0,0.0,0.645,6.129,3.548,6.129,16.129,0.0,12.258,0.0,2.581,0.0,0.0,0.323,14.516,0.645,0.323,2.258,11.613,0.0,0.0,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,1.29,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,1.29,1.29,0.0,0.0,14.516,0.0,0.645,0.0,0.0,0.323,0.0,0.0,2.258,0.0,0.0,0.0,-20.0,0.645,0.0,22.258,0.645,2023a,GV4CQK,0.2997419,68.06400000000001,1
3,3,132,11,Sweden,10,10.0,2018-09-09,201809,11420,Liberals,L,40,,333,5,2019.0,0.88,0.674,5.49,0.0,,20.0,349.0,1,140,2023-1,612.0,0.0,0.0,0.0,0.0,2.124,0.0,0.0,0.327,5.229,0.0,0.0,4.085,5.392,0.0,0.163,0.0,0.0,0.817,0.0,4.412,2.451,2.288,1.144,0.0,0.0,0.0,0.0,0.163,0.0,0.163,1.471,0.0,0.0,0.327,0.0,0.49,7.68,2.941,7.353,9.15,2.451,11.601,0.0,1.797,2.778,0.0,1.144,10.294,1.307,0.163,4.739,5.065,0.0,0.0,0.0,0.327,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431,0.654,5.392,0.0,0.0,0.0,4.412,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.163,1.634,0.163,2.614,10.294,0.0,1.307,0.0,0.163,0.0,0.0,0.0,4.739,0.0,0.0,0.0,-1.144,1.144,2.778,16.503,0.0,2023a,7O4BQ2,0.2997419,50.81399999999999,1
4,4,133,11,Sweden,10,10.0,2018-09-09,201809,11520,Christian Democrats,Kd,50,,333,5,2019.0,0.88,0.674,6.322,0.0,,22.0,349.0,1,140,2023-1,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,2.542,0.0,0.0,0.0,0.0,0.0,1.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.746,4.237,2.542,0.0,0.847,0.0,8.475,0.0,18.644,1.695,3.39,5.932,9.322,0.847,0.0,0.0,2.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.695,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,18.644,0.0,1.695,0.0,0.0,3.39,0.0,0.0,5.932,0.0,0.0,0.0,-12.712,2.542,0.0,34.746,0.0,2023a,4FL7IT,0.2997419,55.08599999999999,1
5,5,134,11,Sweden,10,10.0,2018-09-09,201809,11620,Moderate Coalition Party,MSP,60,,333,5,2019.0,0.88,0.674,19.836,0.0,,70.0,349.0,1,140,2023-1,1005.0,0.1,0.0,0.0,0.0,3.383,0.0,0.1,1.592,0.995,0.1,0.0,1.891,1.592,0.0,0.498,0.498,0.0,2.786,0.199,2.09,2.189,2.388,0.796,0.0,0.0,0.0,0.199,0.796,0.0,1.095,3.383,0.0,0.1,1.194,0.0,0.498,8.06,2.687,4.776,12.338,1.891,7.761,0.199,8.557,0.299,0.1,0.199,11.443,1.891,0.0,4.975,5.373,0.0,0.697,0.0,0.0,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.692,0.199,1.592,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.498,4.677,3.881,0.0,0.299,11.443,0.1,1.891,0.0,0.0,0.0,0.0,0.0,4.975,0.0,0.697,0.0,7.562,0.796,3.383,17.114,0.1,2023a,4HVGA2,0.2997419,59.70399999999999,1
6,6,135,11,Sweden,10,10.0,2018-09-09,201809,11710,Sweden Democrats,SD,70,,333,5,2019.0,0.88,0.674,17.534,0.0,,62.0,349.0,1,140,2023-1,429.0,0.0,0.0,0.0,0.932,4.196,0.0,0.699,7.925,0.0,0.466,3.03,0.466,0.699,0.233,0.0,0.0,0.466,1.632,0.0,0.466,0.466,0.466,0.233,0.0,0.0,0.0,0.466,0.932,0.0,0.233,4.196,0.0,0.0,0.0,0.0,0.0,4.429,3.963,4.196,16.084,0.932,5.361,0.0,8.392,0.0,1.865,0.233,10.023,2.564,0.0,2.564,7.692,0.0,1.166,0.0,0.233,2.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932,0.0,0.0,0.466,0.233,0.0,0.0,0.466,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564,5.828,0.0,0.0,10.023,0.0,2.564,0.0,0.0,0.0,0.0,0.233,2.331,0.0,1.166,0.0,-9.091,0.233,0.466,20.28,0.699,2023a,V6COAF,0.2997419,61.306,1
7,7,136,11,Sweden,10,10.0,2018-09-09,201809,11810,Centre Party,CP,80,,333,5,2019.0,0.88,0.674,8.608,0.0,,31.0,349.0,1,140,2023-1,460.0,0.217,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,2.391,1.739,0.0,0.0,0.217,0.0,1.957,0.0,4.565,4.565,2.174,0.0,0.0,0.0,0.0,0.217,0.652,0.0,0.652,3.043,0.0,0.0,0.0,0.0,3.043,15.652,0.0,8.043,9.565,0.652,2.609,0.0,6.957,4.13,0.0,0.0,6.087,1.304,0.0,3.913,9.348,0.217,1.087,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957,0.435,1.739,0.0,0.0,0.0,4.565,0.0,0.0,0.0,0.0,0.0,0.0,3.043,5.652,1.304,0.0,4.13,6.087,0.217,1.304,0.0,0.0,0.0,0.0,0.0,3.913,0.0,1.087,0.0,9.783,0.0,4.565,17.609,0.0,2023a,I9D3DZ,0.2997419,58.912,1
8,8,258,12,Norway,10,0.0,2017-09-11,201709,12110,Green Party,MDG,10,,347,5,2019.0,0.699,0.712,3.239,0.0,,1.0,169.0,1,141,2023-1,2055.0,1.022,0.097,0.049,0.195,1.022,1.022,0.73,2.628,0.341,0.049,0.097,4.526,3.309,0.049,0.049,2.433,0.0,0.681,0.341,0.049,0.0,2.044,3.358,0.73,0.389,0.195,0.292,0.0,0.0,0.0,13.869,0.097,0.633,0.0,0.049,9.294,16.253,4.477,3.698,7.932,0.049,3.844,0.0,0.243,1.071,0.097,0.292,2.92,3.698,3.358,0.0,1.363,0.0,1.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.146,0.973,3.552,2.92,0.0,0.341,0.049,0.049,0.0,0.0,0.0,0.0,0.0,2.968,6.326,0.243,0.0,0.049,1.022,2.92,1.022,3.26,0.438,1.8,0.438,1.119,0.0,0.0,0.0,1.071,0.0,-11.046,4.185,0.0,11.63,1.8,2023a,YN1F8M,0.2698733,70.51099999999998,1
9,9,259,12,Norway,10,0.0,2017-09-11,201709,12221,Socialist Left Party,SV,20,,347,5,2019.0,0.699,0.712,6.021,0.0,,11.0,169.0,1,141,2023-1,2789.0,0.466,0.143,0.0,1.004,0.61,1.362,0.681,2.582,0.036,0.251,0.538,5.486,2.689,0.036,0.036,1.864,0.036,0.681,0.072,0.0,0.0,1.506,6.454,0.215,0.574,0.143,0.0,0.0,0.108,0.108,8.856,0.968,1.542,0.036,0.502,6.633,5.127,5.235,11.51,11.366,0.036,8.318,0.0,0.394,0.036,0.179,0.717,2.617,0.717,3.55,0.0,3.227,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.681,0.861,4.625,2.474,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.645,5.988,0.394,0.0,0.0,0.036,2.617,0.466,0.681,0.036,0.359,1.721,1.47,0.0,0.0,0.0,0.753,0.0,-28.935,7.637,0.036,22.876,2.044,2023a,XL6D25,0.2698733,61.061,1
10,10,260,12,Norway,10,0.0,2017-09-11,201709,12230,Red Party,,20,,347,5,2019.0,0.699,0.712,2.409,0.0,,1.0,169.0,1,141,2023-1,2022.0,1.583,0.099,0.0,1.484,0.692,0.643,0.247,1.434,0.0,0.742,0.841,5.292,4.303,0.0,0.0,2.275,0.0,0.297,0.346,0.049,0.0,0.099,5.49,0.0,0.198,0.396,0.0,0.049,0.049,0.0,6.874,0.495,1.731,0.0,1.137,4.402,6.677,3.61,11.869,14.392,0.0,6.182,0.0,0.049,0.593,0.049,0.791,3.264,0.593,3.215,0.0,5.638,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.593,0.643,4.649,3.907,0.0,0.049,0.346,0.049,0.0,0.0,0.0,0.0,0.0,0.396,4.006,0.049,0.0,0.0,0.593,3.264,0.396,0.148,0.445,0.495,0.198,2.522,0.0,0.0,0.0,1.83,0.0,-32.344,5.984,0.0,26.261,0.89,2023a,Q6Y3ZI,0.2698733,57.712,1
11,11,261,12,Norway,10,0.0,2017-09-11,201709,12320,Labour Party,Ap,30,,347,5,2019.0,0.699,0.712,27.366,0.0,,49.0,169.0,1,141,2023-1,2363.0,0.55,0.296,0.0,0.085,1.608,0.592,0.381,3.978,0.254,0.042,0.042,2.835,1.227,0.042,0.0,1.058,0.0,1.904,0.127,0.085,0.042,0.889,7.364,0.973,1.016,0.127,0.0,0.0,0.042,5.882,14.642,0.085,1.481,0.508,0.127,2.201,7.744,3.047,4.867,11.807,0.042,7.406,0.127,1.227,0.0,0.339,0.254,2.624,1.693,0.55,0.762,6.221,0.0,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.042,0.127,2.708,1.227,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,2.201,0.677,0.55,0.0,0.0,2.624,0.508,1.65,0.042,0.127,0.0,0.423,0.042,0.719,0.0,0.804,0.0,-29.793,8.421,0.55,16.674,0.973,2023a,PQRVP9,0.2698733,58.232,1
12,12,262,12,Norway,10,0.0,2017-09-11,201709,12420,Liberal Party,V,40,,347,5,2019.0,0.699,0.712,4.37,0.0,,8.0,169.0,1,141,2023-1,3678.0,1.359,0.435,0.0,0.027,1.495,0.571,0.299,3.507,0.87,0.0,0.027,6.172,3.072,0.0,0.054,1.903,0.326,2.909,0.625,0.0,1.794,2.039,5.383,0.625,0.163,0.136,0.734,0.027,0.517,0.571,16.313,0.353,0.082,0.544,0.0,6.063,7.776,3.589,7.178,8.238,0.19,5.356,0.0,0.462,0.326,0.136,0.707,1.713,0.897,2.229,0.082,1.903,0.0,0.136,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,2.039,4.133,2.909,0.0,0.082,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.054,6.009,0.408,0.054,0.0,0.326,1.713,1.359,0.761,0.136,0.517,1.088,0.625,0.082,0.0,0.0,0.136,0.0,-13.377,6.362,2.338,15.416,0.87,2023a,IR13SB,0.2698733,59.298,1
13,13,263,12,Norway,10,0.0,2017-09-11,201709,12520,Christian People’s Party,KrF,50,,347,5,2019.0,0.699,0.712,4.196,0.0,,8.0,169.0,1,141,2023-1,4145.0,0.338,0.169,0.0,0.265,2.799,0.7,0.724,3.643,0.072,0.193,0.072,5.211,2.461,0.097,0.0,1.303,0.121,1.013,0.072,0.0,0.483,1.303,3.981,0.241,0.145,0.072,0.0,0.0,0.097,1.689,11.508,0.362,0.338,0.048,0.048,4.511,4.029,3.281,7.913,14.113,0.555,6.9,0.121,0.651,0.193,7.672,0.024,1.882,2.34,1.906,0.507,1.568,0.048,2.075,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.193,0.579,4.632,2.413,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.024,4.487,0.555,0.097,0.024,0.169,1.882,0.338,2.292,0.048,0.724,0.483,0.7,0.314,0.193,0.0,2.075,0.0,-12.328,4.584,0.531,22.027,1.423,2023a,DNU3AP,0.2698733,68.01,1
14,14,264,12,Norway,10,0.0,2017-09-11,201709,12620,Conservative Party,H,60,,347,5,2019.0,0.699,0.712,25.041,0.0,,45.0,169.0,1,141,2023-1,1921.0,0.573,0.052,0.0,0.0,2.447,0.156,0.208,2.759,0.729,0.312,0.052,2.707,0.469,0.104,0.104,3.227,0.573,4.06,0.052,0.0,2.915,5.206,0.833,1.51,0.469,0.156,0.208,0.521,0.26,1.926,13.535,0.104,0.416,0.104,0.0,4.581,5.726,2.655,3.175,11.088,0.26,9.839,0.104,1.406,0.156,1.093,0.0,4.217,2.186,1.249,1.197,3.123,0.0,0.833,0.0,0.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.301,1.406,0.416,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.581,0.677,0.729,0.0,0.156,4.217,0.521,1.718,0.469,0.416,0.052,0.781,1.041,0.156,0.0,0.833,0.052,-7.808,2.447,3.019,14.263,0.364,2023a,2CW8L7,0.2698733,60.751,1
15,15,265,12,Norway,10,0.0,2017-09-11,201709,12810,Centre Party,Sp,80,,347,5,2019.0,0.699,0.712,10.319,0.0,,19.0,169.0,1,141,2023-1,2634.0,0.645,0.266,0.0,0.152,1.708,0.152,0.266,2.24,0.0,1.443,0.911,2.696,1.405,0.0,0.0,4.632,0.038,3.151,0.076,0.0,1.632,2.43,4.404,0.418,0.494,0.683,0.0,0.0,0.076,3.189,8.049,0.19,1.215,0.114,0.038,4.594,3.721,3.607,5.315,13.933,0.342,7.099,0.0,1.405,0.114,1.291,0.152,4.214,1.898,1.519,0.835,2.278,0.0,4.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.076,0.494,2.202,1.329,0.0,0.038,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.594,0.569,0.835,0.0,0.114,4.214,0.607,1.822,0.076,0.152,0.721,0.645,0.835,0.0,0.0,4.973,0.0,-16.705,5.011,1.746,19.248,0.418,2023a,ZITNUP,0.2698733,62.26299999999999,1
16,16,266,12,Norway,10,0.0,2017-09-11,201709,12951,Progress Party,FrP,70,,347,5,2019.0,0.699,0.712,15.193,0.0,,27.0,169.0,1,141,2023-1,3128.0,0.543,0.0,0.0,0.064,4.636,0.064,0.032,1.598,0.0,0.671,0.352,6.777,1.822,0.096,0.128,1.503,0.639,2.653,0.224,0.16,11.893,1.055,2.973,0.256,0.512,0.0,2.014,0.0,0.0,2.877,13.363,0.096,0.096,0.575,0.0,0.352,1.79,2.366,2.685,10.358,2.302,6.49,0.448,3.804,0.0,0.352,0.384,4.827,0.671,0.256,1.918,1.151,0.128,1.822,0.128,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,4.987,1.79,1.503,0.064,0.0,0.32,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.352,1.247,2.558,0.0,0.0,4.827,0.192,0.671,0.0,0.0,0.0,0.256,0.448,0.991,0.48,1.822,0.064,14.162,3.325,12.468,13.043,0.096,2023a,S6AADA,0.2698733,43.444,1
17,17,493,13,Denmark,10,10.0,2015-06-18,201506,13001,Liberal Alliance,,40,,348,5,2019.0,0.751,0.652,7.534,0.0,,13.0,175.0,9,141,2023-1,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,0.0,0.0,0.0,5.556,0.0,0.0,0.0,4.63,0.0,11.111,0.0,0.0,18.519,0.0,0.0,0.0,0.0,0.0,0.926,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,3.704,6.481,1.852,2.778,7.407,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,13.889,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.889,0.0,28.704,0.0,18.519,14.815,0.0,2023a,UQUQQZ,0.28177446,48.149,1
